datum,kraj,disciplina,mesto,zaostanek
08-03-2008,Kranjska Gora,Giant Slalom,4,6.95
02-03-2008,Kvitfjell,Super G,16,10.69
01-03-2008,Kvitfjell,Downhill,DNF1,
29-02-2008,Kvitfjell,Downhill,37,43.67
23-02-2008,"Whistler, BC",Giant Slalom,3,2.46
21-02-2008,"Whistler, BC",Super G,11,8.33
17-02-2008,Zagreb-Sljeme,Slalom,26,26.18
09-02-2008,Garmisch,Slalom,11,14.47
03-02-2008,Val d'Isere,Super Combined,6,9.32
27-01-2008,Chamonix,Super Combined,18,20.38
26-01-2008,Chamonix,Downhill,33,23.15
22-01-2008,Schladming,Slalom,8,9.67
20-01-2008,Kitzbuehel,Combined,2,
20-01-2008,Kitzbuehel,Slalom,7,6.91
19-01-2008,Kitzbuehel,Downhill,14,21.67
18-01-2008,Kitzbuehel,Super G,7,8.06
12-01-2008,Wengen,Slalom,DNF2,
11-01-2008,Wengen,Super Combined,4,3.91
06-01-2008,Adelboden,Slalom,2,0.56
05-01-2008,Adelboden,Giant Slalom,7,6.14
29-12-2007,Bormio,Downhill,28,28.78
17-12-2007,La Villa - Alta Badia,Slalom,DNF1,
16-12-2007,La Villa - Alta Badia,Giant Slalom,2,2.45
14-12-2007,Val Gardena-Groeden,Super G,7,3.20
09-12-2007,Bad Kleinkirchheim,Slalom,1,0.00
08-12-2007,Bad Kleinkirchheim,Giant Slalom,4,1.35
03-12-2007,"Beaver Creek, CO",Super G,5,4.38
02-12-2007,"Beaver Creek, CO",Giant Slalom,8,3.42
30-11-2007,"Beaver Creek, CO",Downhill,19,18.67
29-11-2007,"Beaver Creek, CO",Super Combined,36,48.06
25-11-2007,"Lake Louise, AB",Super G,2,5.08
24-11-2007,"Lake Louise, AB",Downhill,46,29.81
11-11-2007,Reiteralm,Slalom,7,4.62
28-10-2007,Soelden,Giant Slalom,4,4.21
18-03-2007,Lenzerheide,Slalom,1,0.00
17-03-2007,Lenzerheide,Giant Slalom,DNF1,
15-03-2007,Lenzerheide,Super G,2,1.72
14-03-2007,Lenzerheide,Downhill,13,13.33
11-03-2007,Kvitfjell,Super G,DNF1,
10-03-2007,Kvitfjell,Downhill,21,19.83
09-03-2007,Kvitfjell,Super Combined,1,0.00
04-03-2007,Kranjska Gora,Slalom,2,3.70
03-03-2007,Kranjska Gora,Giant Slalom,1,0.00
25-02-2007,Garmisch-Partenkirchen,Slalom,3,8.35
30-01-2007,Schladming,Slalom,1,0.00
28-01-2007,Kitzbuehel,Slalom,6,2.99
27-01-2007,Kitzbuehel,Slalom,5,9.82
20-01-2007,Val d'Isere,Downhill,36,31.09
14-01-2007,Wengen,Super Combined,6,5.75
13-01-2007,Wengen,Downhill,12,22.67
07-01-2007,Adelboden,Slalom,2,1.48
06-01-2007,Adelboden,Giant Slalom,1,0.00
29-12-2006,Bormio,Downhill,26,19.68
28-12-2006,Bormio,Downhill,29,25.94
21-12-2006,Hinterstoder,Giant Slalom,5,3.44
20-12-2006,Hinterstoder,Super G,34,30.71
18-12-2006,Alta Badia,Slalom,DSQ2,
17-12-2006,Alta Badia,Giant Slalom,4,4.97
15-12-2006,Gardena/Groeden,Super G,45,34.57
10-12-2006,Reiteralm,Super Combined,10,15.52
03-12-2006,"Beaver Creek, CO",Slalom,DNF1,
02-12-2006,"Beaver Creek, CO",Giant Slalom,11,6.37
30-11-2006,"Beaver Creek, CO",Super Combined,DNF,
26-11-2006,"Lake Louise, AB",Super G,10,10.91
25-11-2006,"Lake Louise, AB",Downhill,31,22.56
12-11-2006,Levi,Slalom,1,0.00
18-03-2006,Are,Slalom,DNF1,
17-03-2006,Are,Giant Slalom,1,0.00
16-03-2006,Are,Super G,DNF1,
11-03-2006,Shigakogen,Slalom,4,2.09
10-03-2006,Shigakogen,Slalom,1,0.00
05-03-2006,Yongpyong,Giant Slalom,4,0.25
04-03-2006,Yongpyong,Giant Slalom,5,7.68
03-02-2006,Chamonix,Super Combined,1,
29-01-2006,Garmisch-Partenkirchen,Super G,18,20.51
28-01-2006,Garmisch-Partenkirchen,Downhill,DNF1,
24-01-2006,Schladming,Slalom,3,4.75
22-01-2006,Kitzbuehel,Slalom,3,3.03
22-01-2006,Kitzbuehel,Combined,1,
21-01-2006,Kitzbuehel,Downhill,10,15.46
20-01-2006,Kitzbuehel,Super G,31,23.03
15-01-2006,Wengen,Slalom,DNF2,
13-01-2006,Wengen,Super Combined,1,
08-01-2006,Adelboden,Slalom,3,4.72
07-01-2006,Adelboden,Giant Slalom,1,0.00
