datum,kraj,disciplina,mesto,zaostanek
23-10-2005,Soelden,Giant Slalom,DNF1,
26-02-2005,Kranjska Gora,Giant Slalom,DNF1,
16-01-2005,Wengen,Slalom,DNF1,
11-01-2005,Adelboden,Giant Slalom,7,7.09
08-02-2004,Adelboden,Slalom,DNF1,
04-01-2004,Flachau,Slalom,DNQ1,
03-01-2004,Flachau,Giant Slalom,DNF1,
26-10-2003,Soelden,Giant Slalom,DNQ1,
16-03-2003,Lillehammer,Slalom,DNF2,
26-01-2003,Kitzbuehel,Slalom,DNS1,
04-01-2003,Kranjska Gora,Giant Slalom,DNQ1,
