datum,kraj,disciplina,mesto,zaostanek
23-01-2005,Maribor,Slalom,DNF1,
22-01-2005,Maribor,Giant Slalom,5,7.78
20-01-2005,Zagreb-Sljeme,Slalom,4,4.99
09-01-2005,Santa Caterina,Slalom,9,8.80
08-01-2005,Santa Caterina,Giant Slalom,DNF2,
29-12-2004,Semmering,Slalom,16,30.22
28-12-2004,Semmering,Giant Slalom,DNQ1,
22-12-2004,St. Moritz,Giant Slalom,11,11.25
12-12-2004,Altenmarkt-Zauchensee,Slalom,DNF2,
28-11-2004,"Aspen, CO",Slalom,DNF1,
27-11-2004,"Aspen, CO",Slalom,4,10.88
26-11-2004,"Aspen, CO",Giant Slalom,DNQ1,
23-10-2004,Soelden,Giant Slalom,9,15.34
25-01-2004,Maribor,Slalom,3,7.85
24-01-2004,Maribor,Giant Slalom,DNF2,
05-01-2004,Megeve,Slalom,25,30.38
28-12-2003,Lienz,Slalom,2,1.78
27-12-2003,Lienz,Giant Slalom,1,0.00
17-12-2003,Madonna di Campiglio,Slalom,1,0.00
16-12-2003,Madonna di Campiglio,Slalom,3,6.23
13-12-2003,Alta Badia,Giant Slalom,2,0.19
29-11-2003,"Park City, UT",Slalom,DNF1,
28-11-2003,"Park City, UT",Giant Slalom,2,8.30
25-10-2003,Soelden,Giant Slalom,DNF1,
16-03-2003,Lillehammer,Giant Slalom,3,7.75
15-03-2003,Lillehammer,Slalom,DNF2,
06-03-2003,Are,Giant Slalom,DNF1,
26-01-2003,Maribor,Slalom,3,1.96
25-01-2003,Maribor,Giant Slalom,2,7.25
19-01-2003,Cortina d'Ampezzo,Giant Slalom,DSQ2,
05-01-2003,Bormio,Slalom,11,15.26
04-01-2003,Bormio,Giant Slalom,DNF1,
29-12-2002,Semmering,Slalom,DNF1,
28-12-2002,Semmering,Giant Slalom,3,4.53
22-12-2002,Lenzerheide,Slalom,DNF2,
15-12-2002,Sestriere,KO Slalom,3,
12-12-2002,Val d'Isere,Giant Slalom,8,7.14
30-11-2002,"Aspen, CO",Slalom,4,4.45
23-11-2002,"Park City, UT",Slalom,8,10.82
21-11-2002,"Park City, UT",Giant Slalom,DNF2,
26-10-2002,Soelden,Giant Slalom,1,0.00
19-01-2002,Berchtesgaden,Giant Slalom,DNQ1,
06-01-2002,Maribor,Slalom,DNF1,
05-01-2002,Maribor,Slalom,DNF1,
04-01-2002,Maribor,Giant Slalom,29,23.70
09-12-2001,Sestriere,Slalom,DNQ1,
27-10-2001,Soelden,Giant Slalom,DNQ1,
18-02-2001,Garmisch-Partenkirchen,Slalom,DNQ2,
