datum,kraj,disciplina,mesto,zaostanek
14-03-2008,Bormio,Giant Slalom,7,7.20
13-03-2008,Bormio,Super G,1,0.00
08-03-2008,Kranjska Gora,Giant Slalom,DNF2,
02-03-2008,Kvitfjell,Super G,15,10.34
01-03-2008,Kvitfjell,Downhill,43,52.14
29-02-2008,Kvitfjell,Downhill,35,43.28
23-02-2008,"Whistler, BC",Giant Slalom,1,0.00
21-02-2008,"Whistler, BC",Super G,2,0.36
03-02-2008,Val d'Isere,Super Combined,33,40.01
26-01-2008,Chamonix,Downhill,51,34.17
18-01-2008,Kitzbuehel,Super G,21,17.20
13-01-2008,Wengen,Downhill,44,44.70
05-01-2008,Adelboden,Giant Slalom,3,3.46
29-12-2007,Bormio,Downhill,23,23.07
16-12-2007,La Villa - Alta Badia,Giant Slalom,18,13.06
15-12-2007,Val Gardena-Groeden,Downhill,45,36.09
14-12-2007,Val Gardena-Groeden,Super G,10,5.65
08-12-2007,Bad Kleinkirchheim,Giant Slalom,DNF2,
03-12-2007,"Beaver Creek, CO",Super G,1,0.00
02-12-2007,"Beaver Creek, CO",Giant Slalom,7,2.99
30-11-2007,"Beaver Creek, CO",Downhill,44,46.68
25-11-2007,"Lake Louise, AB",Super G,22,19.05
28-10-2007,Soelden,Giant Slalom,DNQ1,
17-03-2007,Lenzerheide,Giant Slalom,12,13.84
15-03-2007,Lenzerheide,Super G,DNF1,
11-03-2007,Kvitfjell,Super G,10,12.07
03-03-2007,Kranjska Gora,Giant Slalom,7,6.84
24-02-2007,Garmisch-Partenkirchen,Downhill,36,32.36
23-02-2007,Garmisch-Partenkirchen,Downhill,43,50.50
20-01-2007,Val d'Isere,Downhill,53,56.61
14-01-2007,Wengen,Super Combined,DNS,
06-01-2007,Adelboden,Giant Slalom,13,13.69
21-12-2006,Hinterstoder,Giant Slalom,DNF2,
20-12-2006,Hinterstoder,Super G,32,29.97
17-12-2006,Alta Badia,Giant Slalom,11,8.22
15-12-2006,Gardena/Groeden,Super G,16,16.62
10-12-2006,Reiteralm,Super Combined,DNC1,
02-12-2006,"Beaver Creek, CO",Giant Slalom,DNF1,
30-11-2006,"Beaver Creek, CO",Super Combined,DNF,
26-11-2006,"Lake Louise, AB",Super G,16,16.76
17-03-2006,Are,Giant Slalom,5,9.89
16-03-2006,Are,Super G,9,18.78
05-03-2006,Yongpyong,Giant Slalom,17,4.84
04-03-2006,Yongpyong,Giant Slalom,DSQ1,
29-01-2006,Garmisch-Partenkirchen,Super G,9,12.50
28-01-2006,Garmisch-Partenkirchen,Downhill,DNS1,
21-01-2006,Kitzbuehel,Downhill,18,18.18
20-01-2006,Kitzbuehel,Super G,3,3.54
14-01-2006,Wengen,Downhill,21,33.50
13-01-2006,Wengen,Super Combined,DNF,
07-01-2006,Adelboden,Giant Slalom,DNF2,
29-12-2005,Bormio,Downhill,21,19.52
21-12-2005,Kranjska Gora,Giant Slalom,9,10.93
18-12-2005,Alta Badia,Giant Slalom,13,11.41
17-12-2005,Gardena/Groeden,Downhill,39,47.11
16-12-2005,Gardena/Groeden,Super G,40,25.56
03-12-2005,"Beaver Creek, CO",Giant Slalom,14,16.61
02-12-2005,"Beaver Creek, CO",Downhill,DNF1,
01-12-2005,"Beaver Creek, CO",Super G,1,0.00
27-11-2005,"Lake Louise, AB",Super G,8,8.66
26-11-2005,"Lake Louise, AB",Downhill,36,29.42
23-10-2005,Soelden,Giant Slalom,15,10.88
26-02-2005,Kranjska Gora,Giant Slalom,DNQ2,
20-02-2005,Garmisch-Partenkirchen,Super G,12,8.19
24-01-2005,Kitzbuehel,Super G,15,16.95
21-12-2004,Flachau,Giant Slalom,DNQ2,
19-12-2004,Alta Badia,Giant Slalom,DNQ1,
17-12-2004,Gardena/Groeden,Super G,DNF1,
28-02-2004,Kranjska Gora,Giant Slalom,27,16.42
07-02-2004,Adelboden,Giant Slalom,DNQ1,
21-12-2003,Alta Badia,Giant Slalom,DNF1,
19-12-2003,Gardena/Groeden,Super G,DNF1,
26-10-2003,Soelden,Giant Slalom,DNQ1,
13-03-2003,Lillehammer,Super G,3,4.35
23-02-2003,Garmisch-Partenkirchen,Super G,12,9.91
27-01-2003,Kitzbuehel,Super G,8,13.27
22-12-2002,Alta Badia,Giant Slalom,DNF1,
20-12-2002,Gardena/Groeden,Super G,2,1.10
07-12-2001,Val d'Isere,Super G,DSQ1,
