datum,kraj,disciplina,mesto
30-11-2002,"Aspen, CO",Slalom,DNQ1
29-11-2002,"Aspen, CO",Super G,30
23-11-2002,"Park City, UT",Slalom,DNQ1
21-11-2002,"Park City, UT",Giant Slalom,DNQ1
26-10-2002,Soelden,Giant Slalom,DNQ1
20-01-2002,Berchtesgaden,Slalom,DNQ1
13-01-2002,Saalbach-Hinterglemm,Slalom,DNQ1
06-01-2002,Maribor,Slalom,DNF1
05-01-2002,Maribor,Slalom,DNF1
04-01-2002,Maribor,Giant Slalom,DNF1
29-12-2001,Lienz,Slalom,DNQ1
28-12-2001,Lienz,Giant Slalom,DNQ1
14-01-2001,Flachau,Slalom,DSQ1
20-12-2000,Sestriere,Slalom,DNQ2
