id,ime,drzava,smuci
44223,NYMAN  Steven,USA,Fischer
45078,OLSSON  Hans,SWE,Head
96954,OLSSON  Matts,SWE,Head
176109,ORTLIEB  Nina,AUT,Head
45415,OSBORNE-PARADIS  Manuel,CAN,Rossignol
96579,PANGRAZZI  Paolo,ITA,Head
96256,PARDELLER  Sarah,ITA,Elan
109079,PARIS  Dominik,ITA,Nordica
136927,PATRICKSSON  Axel William,NOR,Head
145171,PAULATHOVA  Katerina,CZE,Rossignol
97751,PELLISSIER  Marion,FRA,Dynastar
136473,PHILP  Trevor,CAN,Rossignol
155113,PICHLER  Karoline,ITA,Head
70496,PIETILAE-HOLMNER  Maria,SWE,Rossignol
127048,PINTURAULT  Alexis,FRA,Head
136009,PIOT  Jennifer,FRA,Rossignol
145321,PIRINEN  Eemeli,FIN,Ni_podatka
117686,PLEISCH  Manuel,SUI,Atomic
48438,POISSON  David,FRA,Salomon
95213,PREFONTAINE  Marie-Pier,CAN,Rossignol
118034,PRIDY  Morgan,CAN,Atomic
80168,PUCHNER  Joachim,AUT,Atomic
137630,PUCHNER  Mirjam,AUT,Atomic
49658,RAICH  Benjamin,AUT,Atomic
50086,RAZZOLI  Giuliano,ITA,Fischer
125587,READ  Erik,CAN,Fischer
104502,REBENSBURG  Viktoria,GER,Stoeckli
50281,REICHELT  Hannes,AUT,Salomon
174546,REISINGER  Elisabeth,AUT,Head
50789,RICHARD  Cyprien,FRA,Head
126762,ROBNIK  Tina,SLO,Elan
138575,ROCHAT  Marc,SUI,Atomic
120336,ROGER  Brice,FRA,Rossignol
51778,ROLLAND  Marion,FRA,Rossignol
149752,ROMANOVA  Anastasia,RUS,Rossignol
105314,ROMAR  Andreas,FIN,Head
97130,ROSS  Laurenne,USA,Voelkl
52499,RUIZ CASTILLO  Carolina,SPA,Stoeckli
77191,RYDING  Dave,GBR,Fischer
156607,SAEFVENBERG  Charlotta,SWE,Rossignol
53319,SAMSAL  Dalibor,HUN,Ni_podatka
79391,SANDELL  Marcus,FIN,Nordica
104588,SANDER  Andreas,GER,Atomic
154653,SARRAZIN  Cyprien,FRA,Fischer
80173,SCHEIBER  Florian,AUT,Rossignol
156950,SCHEYER  Christine,AUT,Head
121239,SCHILD  Bernadette,AUT,Rossignol
125964,SCHMED  Fernando,SUI,Salomon
70672,SCHMID  Philipp,GER,Rossignol
106298,SCHMIDHOFER  Nicole,AUT,Fischer
138596,SCHMIDIGER  Reto,SUI,Nordica
155717,SCHMOTZ  Marlene,GER,Fischer
54711,SCHNARF  Johanna,ITA,Fischer
161064,SCHNEEBERGER  Rosina,AUT,Voelkl
54869,SCHOERGHOFER  Philipp,AUT,Fischer
126647,SCHWAIGER  Dominik,GER,Head
169280,SCHWARZ  Marco,AUT,Atomic
121246,SCHWEIGER  Patrick,AUT,Salomon
154956,SEJERSTED  Adrian Smiseth,NOR,Atomic
127674,SEJERSTED  Lotte Smiseth,NOR,Head
164835,SHIFFRIN  Mikaela,USA,Atomic
126456,SIEBENHOFER  Ramona,AUT,Head
56542,SIMARI BIRKNER  Cristian Javier,ARG,Ni_podatka
56543,SIMARI BIRKNER  Macarena,ARG,Fischer
56622,SIMONCELLI  Davide,ITA,Salomon
145117,SKJOELD  Maren,NOR,Voelkl
94075,SKUBE  Matic,SLO,Voelkl
163939,SMALL  Greta,AUS,Atomic
58077,SPORN  Andrej,SLO,Stoeckli
118340,STAUBITZER  Benedikt,GER,Blizzard
58413,STECHERT  Tobias,GER,Head
70677,STEHLE  Dominik,GER,Nordica
36748,STERZ  Regina,AUT,Voelkl
58869,STIEGLER  Resi,USA,Rossignol
67825,STRACHOVA  Sarka,CZE,Fischer
137475,STRASSER  Linus,GER,Nordica
59171,STREITBERGER  Georg,AUT,Head
126498,STRIEDINGER  Otmar,AUT,Rossignol
59332,STUFFER  Verena,ITA,Fischer
117509,STUHEC  Ilka,SLO,Rossignol
59537,SULLIVAN  Marco,USA,Atomic
156381,SUTER  Corinne,SUI,Head
59692,SUTER  Fabienne,SUI,Dynastar
168039,SUTER  Jasmina,SUI,Voelkl
59877,SVINDAL  Aksel Lund,NOR,Head
127270,SWENN-LARSSON  Anna,SWE,Head
61157,THALER  Patrick,ITA,Fischer
106305,THALMANN  Carmen,AUT,Head
61175,THEAUX  Adrien,FRA,Head
155218,THOMPSON  Broderick,CAN,Ni_podatka
79303,THOMSEN  Benjamin,CAN,Head
148188,TILLEY  Alexandra,GBR,Head
126457,TIPPLER  Tamara,AUT,Voelkl
107917,TONETTI  Riccardo,ITA,Voelkl
127584,TORSTI  Samu,FIN,Nordica
139687,TRIKHICHEV  Pavel,RUS,Rossignol
175818,TRUPPE  Katharina,AUT,Fischer
105040,TUMLER  Thomas,SUI,Atomic
154959,TVIBERG  Maria Therese,NOR,Head
63682,VARETTONI  Silvano,ITA,Head
68555,VELEZ ZUZULOVA  Veronika,SVK,Salomon
149509,VENIER  Stephanie,AUT,Atomic
70321,VILETTA  Sandro,SUI,Salomon
168809,VLHOVA  Petra,SVK,Rossignol
117615,VOGEL  Nadja,SUI,Stoeckli
30368,VONN  Lindsey,USA,Head
64729,VRABLIK  Martin,CZE,Voelkl
126502,WALDER  Christian,AUT,Head
148261,WEBER  Ralph,SUI,Head
72223,WEIBRECHT  Andrew,USA,Head
126583,WEINBUCHNER  Susanne,GER,Head
107164,WEIRATHER  Tina,LIE,Atomic
137480,WENIG  Michaela,GER,Voelkl
125620,WERRY  Tyler,CAN,Head
146059,WIESLER  Maren,GER,Fischer
